report_date	category	revenue
02/05/2022	Ethnic Dress	18306.0
02/05/2022	Saree	2172.0
02/05/2022	Set	1558648.0
02/05/2022	Top	179070.0
02/05/2022	Western Dress	312680.0
02/05/2022	kurta	873893.0
03/05/2022	Blouse	18355.0
03/05/2022	Bottom	5184.0
03/05/2022	Ethnic Dress	22703.0
03/05/2022	Saree	2593.0
03/05/2022	Set	1643077.0
03/05/2022	Top	182248.0
03/05/2022	Western Dress	341005.0
03/05/2022	kurta	944965.0
04/05/2022	Blouse	14075.0
04/05/2022	Bottom	5234.0
04/05/2022	Ethnic Dress	27602.0
04/05/2022	Saree	6336.0
04/05/2022	Set	1717559.0
04/05/2022	Top	190038.0
04/05/2022	Western Dress	354357.0
04/05/2022	kurta	950830.0
05/05/2022	Blouse	11480.0
05/05/2022	Bottom	1855.0
05/05/2022	Ethnic Dress	27048.0
05/05/2022	Saree	10067.0
05/05/2022	Set	1589873.0
05/05/2022	Top	179933.0
05/05/2022	Western Dress	342392.0
05/05/2022	kurta	843393.0
06/05/2022	Blouse	12033.0
06/05/2022	Bottom	1316.0
06/05/2022	Ethnic Dress	24680.0
06/05/2022	Saree	8793.0
06/05/2022	Set	1538721.0
06/05/2022	Top	177680.0
06/05/2022	Western Dress	306081.0
06/05/2022	kurta	698235.0
07/05/2022	Blouse	15143.0
07/05/2022	Bottom	317.0
07/05/2022	Ethnic Dress	27744.0
07/05/2022	Saree	6151.0
07/05/2022	Set	1366041.0
07/05/2022	Top	166605.0
07/05/2022	Western Dress	304247.0
07/05/2022	kurta	618670.0
08/05/2022	Blouse	14395.0
08/05/2022	Bottom	1728.0
08/05/2022	Ethnic Dress	27305.0
08/05/2022	Saree	2974.0
08/05/2022	Set	1359053.0
08/05/2022	Top	174118.0
08/05/2022	Western Dress	310799.0
08/05/2022	kurta	604793.0
09/05/2022	Blouse	11507.0
09/05/2022	Bottom	2390.0
09/05/2022	Ethnic Dress	25168.0
09/05/2022	Saree	3191.0
09/05/2022	Set	1221285.0
09/05/2022	Top	168166.0
09/05/2022	Western Dress	297531.0
09/05/2022	kurta	651316.0
10/05/2022	Blouse	13148.0
10/05/2022	Bottom	3743.0
10/05/2022	Ethnic Dress	23576.0
10/05/2022	Saree	4957.0
10/05/2022	Set	1095644.0
10/05/2022	Top	161414.0
